feature,level,churn_rate,n,lift
contract,month_to_month,0.2889908256880734,218,2.913213968629772
education,phd,0.11940298507462686,469,1.203659123736158
contract,one_year,0.1185305826999638,5526,1.1948647449593126
payment_method,mailed_check,0.10909090909090909,1485,1.099706744868035
paperless_billing,No,0.10418310970797158,2534,1.0502329607658425
gender,Male,0.10349050826699327,4899,1.043251091401142
education,master,0.10278514588859416,1508,1.0361405835543767
payment_method,bank_transfer,0.1018409714061888,2553,1.0266226956269031
education,bachelor,0.10152116402116403,3024,1.0233988308585085
marital_status,widowed,0.10080645161290322,496,1.0161940686784598
marital_status,married,0.10064717696942646,4481,1.0145884775143796
marital_status,divorced,0.09948320413436693,1548,1.0028548803867634
paperless_billing,Yes,0.09750870613447629,7466,0.9829506666781884
marital_status,single,0.09697841726618706,3475,0.9776050127639825
payment_method,credit_card,0.09669282511210762,3568,0.9747260595978592
education,college,0.09576202118989405,2454,0.9653429555432868
gender,Female,0.09552969993876301,4899,0.9630010074472077
payment_method,electronic_check,0.09398496240601503,2394,0.9474290565122483
education,high_school,0.09390962671905698,2545,0.9466696241840421
gender,Other,0.08415841584158416,202,0.8483711274353243
contract,two_year,0.0643796992481203,4256,0.6489889037108901
