decile,n,churn_rate,avg_score,lift
10,20000,0.2452,0.24832761830972927,2.471151423532376
9,20000,0.15565,0.1530364004471138,1.5686570924666166
8,20000,0.1273,0.13060339642950888,1.2829428067523305
7,20000,0.1066,0.10902216013921331,1.0743260267069792
6,20000,0.088,0.08972699650167416,0.8868732678256488
5,20000,0.07905,0.07672405996941334,0.7966742252456538
4,20000,0.06755,0.0645771089395038,0.6807760141093475
3,20000,0.05205,0.053891962961289654,0.5245653817082389
2,20000,0.0415,0.037851221123872764,0.418241370622323
1,20000,0.02935,0.030357333223711334,0.2957923910304863
